fac,hospital_name,hospital_type,robots_allowed,base_url,hospital_type_group,cihi_peer_group,licensed_beds,n_directions,extraction_quality,plan_period_start,plan_period_end,plan_start_year,plan_period_parse_ok,has_vision,has_mission,has_values,has_purpose,source_type,extraction_date,has_extraction
592,NAPANEE LENNOX & ADDINGTON,Small Hospital,TRUE,https://lacgh.napanee.on.ca,Community — Small,NA,NA,3,full,2025-01-01,2028-01-01,2025,TRUE,TRUE,TRUE,TRUE,FALSE,pdf,2026-03-27,TRUE
593,Middlesex Hospital Alliance NEWBURY FOUR COUNTIES HEALTH SERV.,Small Hospital,TRUE,https://mhalliance.on.ca,Community — Small,NA,NA,3,full,2024-01-01,NA,2024,TRUE,TRUE,TRUE,TRUE,FALSE,pdf,2026-03-27,TRUE
596,Alliston Stevenson Memorial Hospital,Small Hospital,TRUE,https://www.stevensonhospital.ca,Community — Small,NA,NA,4,full,2023-01-01,2028-01-01,2023,TRUE,TRUE,TRUE,TRUE,FALSE,pdf,2026-03-27,TRUE
597,ALMONTE GENERAL,Small Hospital,TRUE,https://www.mrha.ca,Community — Small,NA,NA,4,full,2026-01-01,2030-01-01,2026,TRUE,FALSE,FALSE,TRUE,TRUE,pdf,2026-03-27,TRUE
599,ARNPRIOR & DISTRICT MEMORIAL,Small Hospital,TRUE,https://www.arnpriorregionalhealth.ca,Community — Small,NA,NA,5,full,2023-01-01,2026-01-01,2023,TRUE,TRUE,TRUE,TRUE,FALSE,pdf,2026-03-27,TRUE
606,BARRIE ROYAL VICTORIA REG HC,Large Community Hospital,TRUE,https://www.rvh.on.ca,Community — Large,NA,NA,6,full,2024-01-01,2034-01-01,2024,TRUE,FALSE,FALSE,TRUE,TRUE,pdf,2026-03-27,TRUE
611,BLIND RIVER NORTH SHORE HN,Small Hospital,TRUE,https://www.nshn.care,Community — Small,NA,NA,3,partial,2024-01-01,2026-01-01,2024,TRUE,TRUE,TRUE,TRUE,FALSE,pdf,2026-03-27,TRUE
619,BROCKVILLE GENERAL,Large Community Hospital,TRUE,https://www.brockvillegeneralhospital.ca,Community — Large,NA,NA,4,partial,2023-01-01,2028-01-01,2023,TRUE,TRUE,TRUE,TRUE,FALSE,txt,2026-03-28,TRUE
624,Campbellford Memorial Hospital,Small Hospital,TRUE,https://cmh.ca,Community — Small,NA,NA,4,partial,2025-01-01,2030-01-01,2025,TRUE,FALSE,FALSE,TRUE,TRUE,pdf,2026-03-27,TRUE
626,MRHA CARLETON PLACE & DISTRICT ,Small Hospital,TRUE,https://www.mrha.ca,Community — Small,NA,NA,4,full,2026-01-01,2030-01-01,2026,TRUE,FALSE,FALSE,TRUE,TRUE,pdf,2026-03-27,TRUE
627,CHAPLEAU SER DE SANTÉ DE CHAPLEAU,Small Hospital,TRUE,https://www.sschs.ca,Community — Small,NA,NA,3,full,2020-01-01,2024-01-01,2020,TRUE,TRUE,TRUE,TRUE,FALSE,pdf,2026-03-27,TRUE
632,North York General Hospital,Large Community Hospital,TRUE,https://www.nygh.on.ca,Community — Large,NA,NA,10,full,2025-01-01,2035-01-01,2025,TRUE,TRUE,TRUE,TRUE,FALSE,pdf,2026-03-27,TRUE
638,MICS GROUP COCHRANE LADY MINTO,Small Hospital,TRUE,https://www.micsgroup.com,Community — Small,NA,NA,5,full,2023-01-01,2026-01-01,2023,TRUE,TRUE,TRUE,TRUE,FALSE,pdf,2026-03-27,TRUE
640,COLLINGWOOD GENERAL AND MARINE HOSP,Large Community Hospital,TRUE,https://cgmh.on.ca,Community — Large,NA,NA,3,full,2025-01-01,2030-01-01,2025,TRUE,TRUE,TRUE,TRUE,FALSE,pdf,2026-03-27,TRUE
644,Cornwall Hospital  CORNWALL HOTEL DIEU,Small Hospital,TRUE,https://www.cornwallhospital.ca,Community — Small,NA,NA,3,partial,2022-01-01,2027-01-01,2022,TRUE,TRUE,TRUE,TRUE,FALSE,pdf,2026-03-27,TRUE
646,DEEP RIVER AND DISTRICT,Small Hospital,TRUE,https://www.drdh.org,Community — Small,NA,NA,3,full,2023-01-01,2027-01-01,2023,TRUE,TRUE,FALSE,TRUE,TRUE,pdf,2026-03-27,TRUE
647,DRYDEN REGIONAL HEALTH CENTRE,Small Hospital,TRUE,https://www.drhc.on.ca,Community — Small,NA,NA,3,full,2023-01-01,2026-01-01,2023,TRUE,TRUE,TRUE,TRUE,FALSE,pdf,2026-03-27,TRUE
648,DUNNVILLE HALDIMAND WAR MEMORIAL,Small Hospital,TRUE,https://www.hwmh.ca,Community — Small,NA,NA,0,thin,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,pdf,2026-03-28,TRUE
650,ELLIOT LAKE ST JOSEPH'S,Small Hospital,TRUE,https://sjghel.ca,Community — Small,NA,NA,0,thin,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,pdf,2026-03-28,TRUE
651,OTTAWA ROYAL OTTAWA (PSYCH),Specialty Mental Health Hospital,TRUE,https://www.theroyal.ca,Specialty,NA,NA,5,full,2025-01-01,2028-01-01,2025,TRUE,TRUE,TRUE,TRUE,FALSE,pdf,2026-03-27,TRUE
653,Blanche River ENGLEHART & DISTRICT,Small Hospital,TRUE,https://www.blancheriverhealth.ca,Community — Small,NA,NA,6,full,2024-01-01,2029-01-01,2024,TRUE,TRUE,TRUE,TRUE,FALSE,pdf,2026-03-27,TRUE
654,ESPANOLA GENERAL,Small Hospital,TRUE,https://espanolaregionalhospital.ca,Community — Small,NA,NA,9,full,2025-01-01,2030-01-01,2025,TRUE,TRUE,TRUE,TRUE,FALSE,pdf,2026-03-27,TRUE
655,Huron Health EXETER SOUTH HURON,Small Hospital,TRUE,https://www.huronhealthsystem.ca,Community — Small,NA,NA,4,full,2023-01-01,2026-01-01,2023,TRUE,TRUE,TRUE,TRUE,FALSE,pdf,2026-03-27,TRUE
656,WHCA Grove community hospital ,Small Hospital,TRUE,https://gmch.whca.ca,Community — Small,NA,NA,5,full,2023-01-01,2028-01-01,2023,TRUE,TRUE,TRUE,TRUE,FALSE,pdf,2026-03-31,TRUE
661,Cambridge Memorial Hospital,Large Community Hospital,TRUE,https://www.cmh.org,Community — Large,NA,NA,5,full,2022-01-01,2027-01-01,2022,TRUE,TRUE,TRUE,TRUE,FALSE,pdf,2026-03-27,TRUE
662,GERALDTON DISTRICT HOSPITAL,Small Hospital,TRUE,https://www.geraldtondh.com,Community — Small,NA,NA,3,full,2024-01-01,2028-01-01,2024,TRUE,TRUE,FALSE,TRUE,TRUE,pdf,2026-03-27,TRUE
663,Huron HealthGODERICH ALEXANDRA MARINE & GEN,Small Hospital,TRUE,https://www.huronhealthsystem.ca,Community — Small,NA,NA,4,full,2023-01-01,2026-01-01,2023,TRUE,TRUE,TRUE,TRUE,FALSE,pdf,2026-03-27,TRUE
665,GUELPH GENERAL,Large Community Hospital,TRUE,https://www.gghorg.ca,Community — Large,NA,NA,5,full,2022-01-01,2027-01-01,2022,TRUE,TRUE,TRUE,TRUE,FALSE,pdf,2026-03-27,TRUE
666,GUELPH ST JOSEPH'S HEALTH CENTRE,Small Hospital,TRUE,https://www.sjhcg.ca,Community — Small,NA,NA,4,full,2020-01-01,2023-01-01,2020,TRUE,TRUE,TRUE,TRUE,FALSE,pdf_image,2026-03-31,TRUE
674,HAMILTON ST JOSEPH'S,Teaching Hospital,TRUE,https://www.stjoes.ca,Teaching,NA,NA,5,full,2025-01-01,2030-01-01,2025,TRUE,TRUE,TRUE,TRUE,FALSE,pdf,2026-03-27,TRUE
676,HANOVER & DISTRICT,Small Hospital,TRUE,https://www.hanoverhospital.on.ca,Community — Small,NA,NA,4,partial,2025-01-01,2030-01-01,2025,TRUE,TRUE,TRUE,TRUE,FALSE,pdf,2026-03-27,TRUE
681,HEARST NOTRE DAME,Small Hospital,TRUE,https://www.ndh.on.ca,Community — Small,NA,NA,4,full,2024-01-01,2027-01-01,2024,TRUE,TRUE,TRUE,TRUE,FALSE,pdf,2026-03-27,TRUE
682,HORNEPAYNE COMMUNITY,Small Hospital,TRUE,https://www.hornepaynecommunityhospital.ca,Community — Small,NA,NA,0,thin,2011-01-01,2012-01-01,2011,TRUE,FALSE,FALSE,FALSE,TRUE,pdf,2026-03-27,TRUE
684,Rural Roads Health servcies INGERSOLL ALEXANDRA,Small Hospital,TRUE,https://www.ruralroadshealthservices.ca,Community — Small,NA,NA,4,partial,2024-01-01,2026-01-01,2024,TRUE,TRUE,TRUE,TRUE,FALSE,txt,2026-03-27,TRUE
685,MICS Group IROQUOIS FALLS ANSON GENERAL,Small Hospital,TRUE,https://www.micsgroup.com,Community — Small,NA,NA,5,full,2023-01-01,2026-01-01,2023,TRUE,TRUE,TRUE,TRUE,FALSE,pdf,2026-03-27,TRUE
686,WAWA LADY DUNN HC,Small Hospital,TRUE,https://ldhc.com,Community — Small,NA,NA,4,full,2022-01-01,2027-01-01,2022,TRUE,TRUE,TRUE,TRUE,FALSE,pdf,2026-03-27,TRUE
695,KINGSTON PROVIDENCE CARE HOSPITAL,Chronic/Rehab Hospital,TRUE,https://providencecare.ca,Specialty,NA,NA,5,full,2025-01-01,2028-01-01,2025,TRUE,TRUE,TRUE,TRUE,FALSE,pdf,2026-03-27,TRUE
696,KIRKLAND & DISTRICT,Small Hospital,TRUE,https://www.blancheriverhealth.ca,Community — Small,NA,NA,6,full,2024-01-01,2029-01-01,2024,TRUE,TRUE,TRUE,TRUE,FALSE,pdf,2026-03-27,TRUE
699,WRHN-KITCHENER ST MARY'S,Large Community Hospital,TRUE,https://www.smgh.ca,Community — Large,NA,NA,NA,no_data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
701,RICHMOND HILL MACKENZIE HEALTH,Large Community Hospital,TRUE,https://www.mackenziehealth.ca,Community — Large,NA,NA,8,full,2025-01-01,2028-01-01,2025,TRUE,TRUE,TRUE,TRUE,FALSE,pdf,2026-03-27,TRUE
704,Erie Shores Leamington,Small Hospital,TRUE,https://www.erieshoreshealthcare.ca,Community — Small,NA,NA,4,partial,2025-01-01,NA,2025,TRUE,TRUE,FALSE,TRUE,FALSE,pdf_image,2026-03-31,TRUE
707,Ross Memorial Hospital,Large Community Hospital,TRUE,https://rmh.org,Community — Large,NA,NA,4,full,2023-01-01,2027-01-01,2023,TRUE,TRUE,TRUE,TRUE,FALSE,pdf,2026-03-27,TRUE
709,Listowel Wingham LISTOWEL MEMORIAL,Small Hospital,TRUE,https://lwha.ca,Community — Small,NA,NA,5,partial,2025-01-01,2027-01-01,2025,TRUE,TRUE,TRUE,TRUE,TRUE,pdf,2026-03-27,TRUE
714,LONDON ST JOSEPHS,Teaching Hospital,TRUE,https://www.sjhc.london.on.ca,Teaching,NA,NA,3,full,2025-01-01,2030-01-01,2025,TRUE,TRUE,TRUE,TRUE,FALSE,pdf,2026-04-10,TRUE
718,BURLINGTON JOSEPH BRANT HOSPITAL,Large Community Hospital,TRUE,https://www.josephbranthospital.ca,Community — Large,NA,NA,4,full,2023-01-01,2026-01-01,2023,TRUE,TRUE,TRUE,TRUE,FALSE,pdf,2026-03-31,TRUE
719,MANITOUWADGE SANTE MANITOUWADGE,Small Hospital,TRUE,https://www.mh.on.ca,Community — Small,NA,NA,NA,no_data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
723,MATHESON BINGHAM MEMORIAL,Small Hospital,TRUE,https://www.micsgroup.com,Community — Small,NA,NA,5,full,2023-01-01,2026-01-01,2023,TRUE,TRUE,TRUE,TRUE,FALSE,pdf,2026-03-27,TRUE
724,MATTAWA GENERAL,Small Hospital,TRUE,https://www.mattawahealth.ca,Community — Small,NA,NA,4,partial,2023-01-01,2026-01-01,2023,TRUE,TRUE,TRUE,TRUE,FALSE,pdf,2026-03-27,TRUE
726,MIDLAND GEORGIAN BAY,Large Community Hospital,TRUE,https://gbgh.on.ca,Community — Large,NA,NA,4,full,2023-01-01,2030-01-01,2023,TRUE,FALSE,FALSE,TRUE,TRUE,pdf,2026-03-27,TRUE
732,KEMPTVILLE DISTRICT,Small Hospital,TRUE,https://kdh.on.ca,Community — Small,NA,NA,5,thin,2022-01-01,2026-01-01,2022,TRUE,TRUE,FALSE,FALSE,FALSE,txt,2026-03-28,TRUE
734,HALDIMAND WEST HALDIMAND GENERAL,Small Hospital,TRUE,https://www.whgh.ca,Community — Small,NA,NA,5,full,2025-01-01,2028-01-01,2025,TRUE,TRUE,TRUE,TRUE,FALSE,pdf,2026-03-27,TRUE
736,NEWMARKET SOUTHLAKE REGIONAL,Large Community Hospital,TRUE,https://southlake.ca,Community — Large,NA,NA,10,full,2025-01-01,2034-01-01,2025,TRUE,FALSE,FALSE,TRUE,TRUE,pdf,2026-03-31,TRUE
739,NIPIGON DISTRICT MEMORIAL,Small Hospital,TRUE,https://www.ndmh.ca,Community — Small,NA,NA,3,partial,NA,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE,txt,2026-04-10,TRUE
745,ORILLIA SOLDIERS' MEMORIAL,Large Community Hospital,TRUE,https://www.osmh.on.ca,Community — Large,NA,NA,3,full,2021-01-01,2025-01-01,2021,TRUE,TRUE,TRUE,TRUE,TRUE,txt,2026-03-28,TRUE
751,OTTAWA CHEO CTC,Specialty Children Hospital,TRUE,https://www.cheo.on.ca,Specialty,NA,NA,5,full,2024-01-01,2029-01-01,2024,TRUE,TRUE,TRUE,TRUE,FALSE,pdf,2026-03-27,TRUE
753,OTTAWA MONTFORT,Teaching Hospital,TRUE,https://hopitalmontfort.com,Teaching,NA,NA,5,full,2024-01-01,2028-01-01,2024,TRUE,TRUE,TRUE,TRUE,FALSE,pdf,2026-03-27,TRUE
763,PEMBROKE REGIONAL,Large Community Hospital,TRUE,https://www.pemreghos.org,Community — Large,NA,NA,7,full,2024-01-01,2029-01-01,2024,TRUE,TRUE,TRUE,TRUE,FALSE,pdf,2026-03-27,TRUE
768,BARRYS BAY ST FRANCIS,Small Hospital,TRUE,https://www.sfmhosp.com,Community — Small,NA,NA,4,partial,2021-01-01,2026-01-01,2021,TRUE,TRUE,TRUE,FALSE,FALSE,pdf,2026-03-27,TRUE
771,PETERBOROUGH REGIONAL HEALTH CENTRE,Large Community Hospital,TRUE,https://www.prhc.on.ca,Community — Large,NA,NA,5,full,2024-01-01,2029-01-01,2024,TRUE,FALSE,FALSE,TRUE,TRUE,pdf,2026-03-28,TRUE
777,Queensway Carleton Hospital,Large Community Hospital,TRUE,https://www.qch.on.ca,Community — Large,NA,NA,9,full,2023-01-01,2028-01-01,2023,TRUE,TRUE,TRUE,TRUE,FALSE,pdf,2026-03-27,TRUE
781,THUNDER BAY ST. JOSEPH'S,Chronic/Rehab Hospital,TRUE,https://sjcg.net,Specialty,NA,NA,7,full,2024-01-01,2028-01-01,2024,TRUE,TRUE,TRUE,TRUE,FALSE,pdf,2026-03-27,TRUE
784,LITTLE CURRENT MANITOULIN,Small Hospital,TRUE,https://www.mhc.on.ca,Community — Small,NA,NA,5,partial,2025-01-01,2028-01-01,2025,TRUE,FALSE,FALSE,TRUE,FALSE,pdf,2026-03-27,TRUE
788,RENFREW VICTORIA,Small Hospital,TRUE,https://www.renfrewhosp.com,Community — Small,NA,NA,4,full,2021-01-01,2026-01-01,2021,TRUE,TRUE,TRUE,TRUE,FALSE,pdf,2026-03-27,TRUE
790,ST CATHARINES HOTEL DIEU,Chronic/Rehab Hospital,TRUE,https://www.hoteldieushaver.org,Specialty,NA,NA,5,partial,2025-01-01,2030-01-01,2025,TRUE,TRUE,TRUE,TRUE,FALSE,pdf,2026-03-27,TRUE
793,ST THOMAS ELGIN GENERAL,Large Community Hospital,TRUE,https://www.stegh.on.ca,Community — Large,NA,NA,7,full,2024-01-01,2027-01-01,2024,TRUE,FALSE,FALSE,TRUE,FALSE,pdf,2026-03-27,TRUE
800,HAWKESBURY & DISTRICT GENERAL,Small Hospital,TRUE,https://hgh.ca,Community — Small,NA,NA,0,thin,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,pdf,2026-03-28,TRUE
802,ALEXANDRIA GLENGARRY,Small Hospital,TRUE,https://www.hgmh.on.ca,Community — Small,NA,NA,4,full,2023-01-01,2028-01-01,2023,TRUE,TRUE,TRUE,TRUE,FALSE,pdf,2026-03-27,TRUE
