"ind","FullName","PageNumber","ShortName"
1,"Total Revenues including external recoveries (reduced by amortization of building grants, internal & within entity recoveries",5,"TotRev"
2,"Total Expenses (reduced by interdepartmental charges, building amortization & internal recoveries",6,"TotExp"
3,"Operating Margin",7,"OpMargin"
4,"Total Margin: All PSCs reported by Hospitals",8,"TotMargPSC"
5,"Total Margin: Hospital PSC 1* only",1,"TotMarginHospital"
6,"Percentage Non-MOH/PHA Revenues of Total Revenues",10,"PctNonMOHRev"
7,"Current Ratio",11,"CurrentRatio"
8,"Working Capital",12,"WorkingCap"
9,"Long Term Debt as a percentage of Corporate Revenue",13,"LTDPctReve"
10,"Long Term Investment as a percentage of Corporate Revenue",14,"LTI"
11,"Inventory Turnover",15,"InvTurn"
12,"Percentage UPP & MOS Compensation Expenses of Total Expenses",16,"pctUPPMOSComp"
13,"Percentage MED Staff & NP Compensation Expenses of Total Expenses",17,"pctMDNPStaffComp"
14,"Percentage Medical & Surgical Supply Expenses of Total Expenses",18,"PctMedSurgSupply"
15,"Percentage Non-Medical & Surgical Supply Expenses of Total Expenses",19,"pctNonMedSurg"
16,"Percentage Drugs & Medical Gases Expenses of Total Expenses",20,"pctDrugsAndGas"
17,"Percentage Equipment Expenses of Total Expenses",21,"pctEquipExpense"
18,"Percentage Contracted-Out Expenses of Total Expenses",22,"PctContractedOut"
19,"Percentage Amortized Building Expenses of Total Expenses",23,"pctAmortizedBuilding"
20,"Percentage Other Expenses of Total Expenses",24,"PctOther"
21,"Percentage Building & Grounds Expenses of Total Expenses",25,"pctB&G"
22,"Percentage Rent Expenses of Total Expenses",26,"pctRent"
23,"Percentage Sundry & Employee Future Benefit Compensation Expenses of Total Expenses",27,"PctSundry"
24,"Percentage Rent Expenses of Building & Grounds and Utilities Expenses",28,"pctRentB&G"
25,"Average Inpatient Expenses per Patient Day: Hospital",29,"avgIPExpperDay"
26,"Average Inpatient Food Expense per Patient Day: Hospital",30,"AvgIOFoodperDay"
27,"Average Expenses per UPP & MOS Worked Hour: Hospital",31,"AvgUPPMOSExpenseperHour"
28,"Average MOS & UPP Hourly Rate",32,"AvgMOSUPPHourlyRate"
29,"Precentage Admin & Support Services Expenses of Total Expenses: Hospital",33,"PctAdminSupportExpHosp"
30,"Percentage Admin & Support Services Expenses of Total Expenses: Community",34,"PctAdminSupportExpComm"
31,"Percentage Hotel/Occupancy Expenses of Total Expenses",35,"PctOccPexpens"
32,"Precentage Facility Support Service Expenses of Total Expenses: Hospital",36,"PctSupSerExpensHoop"
33,"Percentage Equipment Expenses of Total Expenses: Hospital",37,"pctEquipExpHosp"
34,"Percentage Equipment Expenses of Total Expenses: Community",38,"PctEqupExpComm"
35,"Total Full Time Equivalents (FTEs",39,"TotFTE"
36,"Full Time Equivalents (FTEs): MOS",40,"MOSFTE"
37,"Full Time Equivalents (FTEs): UPP",41,"UPPFTE"
38,"Percentage MOS/UPP Purchased Service Hours of Total MOS/UPP Earned Hours",42,"pctMOSUPPPurchasedTotTotearnedHours"
39,"Percentage UPP Earned Hours of Total Earned Hours",43,"pctUPPearnedToTot"
40,"Percentage Nursing Hours of Total Nursing Earned Hours: Full-Time",44,"PctFullTimeNsg"
41,"Percentage Sick Time Hours of Total Earned Hours: Full-Time",45,"PctSikhrsFull"
42,"Percentage Overtime Hours of Total Earned Hours: Full-Time",46,"PctOTHrstoFull"
43,"Percentage Overtime Hours of Total Earned Hours: Part-Time & Casual",47,"PctOThrsTotal"
44,"Percentage Overtime Hours of Total Earned Hours: Full-Time/Part-Time/Casual",48,"PctOtFullAndPart"
45,"Total Acute Inpatient Days",49,"AcutePtDays"
46,"Total Intensive Care Unit (ICU) Inpatient Days",50,"ICUInpatientDays"
47,"Total Mental Health Inpatient Days",51,"TotMHInpatientDays"
48,"Total Rehabilitation Inpatient Days",52,"TotRehabInDays"
49,"Total Complex Continuing Care (CCC) Inpatient Days",53,"TotCCCIPDays"
50,"Total Elderly Capital Assistance Program (ELDCAP) Inpatient Days",54,"TotEldcapIPdays"
51,"Total Inpatient Days",55,"TotIPDays"
52,"Total Inpatient Surgical Cases",56,"TotIPSurgCases"
53,"Total Outpatient Surgical Cases",57,"TotOPSurgCases"
54,"Total Surgical Cases",58,"TotSurgCases"
55,"Average Daily Emergency Visits Face-to-Face InHouse",59,"AvgERF2FInHouse"
56,"Total Emergency Visits Face-to-Face InHouse",60,"TotEmergf2FInhouse"
57,"Total Day/Night Visits Face-to-Face InHouse",61,"TotDayNightF2F"
58,"Total Clinic Visits Face-to-Face InHouse",62,"TotClinicF2FInhouse"
59,"Total Ambulatory Visits Face-to-Face InHouse",63,"TotAmbF2FIn"
60,"Total Visits Face-to-Face: Community",64,"TotVisitsF2FComm"
61,"Total Visits Non Face-to-Face: Community",65,"TotNonF2FCom"
62,"Total Not Uniquely Identified Service Recipient Interactions: Community",66,"TotNUISRComm"
63,"Total Group Participants Attendances: Community",67,"TotGroupComm"
64,"Average Expenses per Individuals Served: Community",68,"AvgExpPerIndividComm"
65,"Total Number of Individuals Served: Community",69,"TotIndServed:comm"
66,"Total Resident Days: Community",70,"TotResDaysComm"
67,"Capacity Service Recipient: Total LTCH Approved Beds",71,"LTCHBEDS"
68,"Capacity Service Recipient: Total LTCH Bed Days Available for Admission",72,"LTCHBedDaysAvailable"
69,"Total Resident Days by Accommodation Type: LTCH",73,"ToTresDays byTypeLTCH"
70,"Average Operating Expenses per Bed Days Available for Admission: LTCH",74,"AvgOpexPerBedDayLTCH"
71,"Average Operating Expenses per Actual Resident Days by Accommodation Type: LTCH",75,"AvgOpExpPerResDayLTCH"
72,"Percentage UPP/MOS Benefit Contributions of Total UPP/MOS Compensation Expenses",76,"pctUPPMOS BenefitsPerUPMOScomp"
73,"Average UPP Earned Hours per Bed Days Available for Admission: LTCH",77,"AvgUPP HaernedHoursPerBedDayLTCH"
74,"Average UPP Earned Hours per Actual Resident Days by Accommodation Type: LTCH",78,"avgUPPErarnedHrPerResidentDaysLTCH"
